Mass DM,SSHH,omega
10,0.1717,0.132
11,0.1685,0.132
12,0.1662,0.132
13,0.1643,0.132
14,0.16269999999999998,0.132
15,0.1612,0.132
16,0.1598,0.132
17,0.1585,0.132
18,0.157,0.132
19,0.1556,0.132
20,0.1541,0.132
21,0.1524,0.132
22,0.1507,0.132
23,0.1489,0.132
24,0.147,0.132
25,0.145,0.132
26,0.1429,0.132
27,0.1407,0.132
28,0.1383,0.132
29,0.1361,0.132
30,0.1341,0.131
31,0.1311,0.132
32,0.1281,0.132
33,0.1251,0.132
34,0.1221,0.132
35,0.11910000000000001,0.132
36,0.11610000000000001,0.132
37,0.1131,0.131
38,0.1091,0.132
39,0.1061,0.131
40,0.10210000000000001,0.131
41,0.0981,0.132
42,0.0941,0.132
43,0.0901,0.132
44,0.08610000000000001,0.132
45,0.0821,0.131
46,0.0771,0.132
47,0.0731,0.13
48,0.0671,0.131
49,0.0601,0.13
50,0.049100000000000005,0.131
51,0.0311,0.132
52,0.015099999999999999,0.125
53,0.0081,0.123
54,0.0051,0.109
55,0.0031,0.114
57,0.0011,0.123
58,0.0007000000000000001,0.126
60,0.00030000000000000003,0.124
61,0.0002,0.11
,,
63,0.004900000000000001,0.13
64,0.0106,0.13
65,0.0154,0.131
66,0.0197,0.131
67,0.0235,0.132
68,0.0268,0.132
69,0.0297,0.132
70,0.03200000000000001,0.132
71,0.033800000000000004,0.132
72,0.03490000000000001,0.132
73,0.0352,0.132
74,0.03490000000000001,0.132
75,0.03370000000000001,0.132
76,0.03150000000000001,0.132
77,0.0287,0.132
78,0.0254,0.132
79,0.0221,0.132
80,0.0193,0.132
81,0.0177,0.132
82,0.017,0.132
83,0.0166,0.132
84,0.0163,0.132
85,0.0163,0.132
86,0.0164,0.131
87,0.0164,0.132
88,0.0165,0.132
89,0.0165,0.132
90,0.0164,0.132
91,0.0163,0.132
92,0.0162,0.132
93,0.0162,0.132
94,0.0163,0.131
95,0.0164,0.131
96,0.0165,0.132
97,0.0166,0.132
98,0.0168,0.131
99,0.016900000000000002,0.132
100,0.0171,0.132
101,0.0173,0.132
102,0.0175,0.131
103,0.0176,0.132
104,0.0178,0.132
105,0.018,0.132
106,0.0182,0.131
107,0.0184,0.131
108,0.0185,0.132
109,0.0187,0.132
110,0.0188,0.132
111,0.019,0.132
112,0.019200000000000002,0.132
113,0.0194,0.132
114,0.0196,0.132
115,0.0198,0.132
116,0.02,0.131
117,0.0201,0.132
118,0.020300000000000002,0.132
119,0.0204,0.132
120,0.0206,0.131
121,0.0207,0.131
122,0.0207,0.132
123,0.0207,0.131
124,0.0205,0.132
125,0.0201,0.132
126,0.0198,0.132
127,0.0197,0.132
128,0.0197,0.132
129,0.0197,0.132
130,0.0197,0.132
131,0.0197,0.132
132,0.0198,0.132
133,0.0198,0.132
134,0.0199,0.132
135,0.02,0.132
136,0.0201,0.132
137,0.0202,0.132
138,0.020300000000000002,0.132
139,0.0204,0.132
140,0.0205,0.132
141,0.0206,0.132
142,0.0207,0.132
143,0.020900000000000002,0.131
144,0.021,0.132
145,0.0211,0.132
146,0.0212,0.132
147,0.0213,0.132
148,0.021500000000000002,0.132
149,0.0216,0.132
150,0.0217,0.132
151,0.0219,0.132
152,0.022,0.132
153,0.0221,0.132
154,0.0223,0.132
155,0.0224,0.132
156,0.022600000000000002,0.131
157,0.0227,0.132
158,0.0228,0.132
159,0.023,0.132
160,0.0231,0.132
161,0.0233,0.131
162,0.0234,0.132
163,0.0235,0.132
164,0.0237,0.132
165,0.0238,0.132
166,0.024,0.132
167,0.0241,0.132
168,0.0242,0.132
169,0.0244,0.132
170,0.0245,0.132
171,0.0246,0.132
172,0.0248,0.132
173,0.024900000000000002,0.132
174,0.025,0.132
175,0.0251,0.132
176,0.0252,0.132
177,0.0253,0.132
178,0.0254,0.132
179,0.0254,0.132
180,0.025500000000000002,0.132
181,0.0256,0.132
182,0.0257,0.132
183,0.0258,0.132
184,0.0259,0.132
185,0.026000000000000002,0.132
186,0.026000000000000002,0.132
187,0.0261,0.132
188,0.0262,0.132
189,0.0263,0.132
190,0.0264,0.132
191,0.0265,0.132
192,0.026600000000000002,0.132
193,0.0267,0.132
194,0.0268,0.132
195,0.0269,0.132
196,0.027,0.132
197,0.0271,0.132
198,0.027200000000000002,0.132
199,0.0273,0.132
200,0.03,0.112
202,0.03,0.113
204,0.03,0.115
206,0.03,0.117
208,0.03,0.118
210,0.03,0.12
212,0.03,0.122
214,0.03,0.124
216,0.03,0.126
218,0.03,0.128
220,0.03,0.13
222,0.03,0.132
266,0.04,0.108
268,0.04,0.11
270,0.04,0.112
272,0.04,0.113
274,0.04,0.115
276,0.04,0.117
278,0.04,0.118
280,0.04,0.12
