Mass DM,SSHH,omega,SI 1,SI 2
10.0,0.1717,0.132,1.542e-07,8.687e-06
11.0,0.1685,0.132,1.376e-07,7.024e-06
12.0,0.1662,0.132,1.244e-07,5.818e-06
13.0,0.1643,0.132,1.135e-07,4.899e-06
14.0,0.16269999999999998,0.132,1.044e-07,4.182e-06
15.0,0.1612,0.132,9.652e-08,3.607e-06
16.0,0.1598,0.132,8.970e-08,3.138e-06
17.0,0.1585,0.132,8.374e-08,2.753e-06
18.0,0.157,0.132,7.834e-08,2.423e-06
19.0,0.1556,0.132,7.355e-08,2.147e-06
20.0,0.1541,0.132,6.920e-08,1.910e-06
21.0,0.1524,0.132,6.518e-08,1.701e-06
22.0,0.1507,0.132,6.152e-08,1.522e-06
23.0,0.1489,0.132,5.814e-08,1.364e-06
24.0,0.147,0.132,5.501e-08,1.225e-06
25.0,0.145,0.132,5.209e-08,1.102e-06
26.0,0.1429,0.132,4.936e-08,9.922e-07
27.0,0.1407,0.132,4.680e-08,8.943e-07
28.0,0.1383,0.132,4.436e-08,8.053e-07
29.0,0.1361,0.132,4.215e-08,7.287e-07
30.0,0.1341,0.131,4.015e-08,6.624e-07
31.0,0.1311,0.132,3.798e-08,5.941e-07
32.0,0.1281,0.132,3.595e-08,5.333e-07
33.0,0.1251,0.132,3.405e-08,4.791e-07
34.0,0.1221,0.132,3.225e-08,4.306e-07
35.0,0.1191,0.132,3.056e-08,3.872e-07
36.0,0.1161,0.132,2.896e-08,3.483e-07
37.0,0.1131,0.131,2.745e-08,3.134e-07
38.0,0.1091,0.132,2.579e-08,2.768e-07
39.0,0.1061,0.131,2.443e-08,2.488e-07
40.0,0.1021,0.131,2.292e-08,2.193e-07
41.0,0.0981,0.132,2.149e-08,1.929e-07
42.0,0.0941,0.132,2.012e-08,1.693e-07
43.0,0.0901,0.132,1.882e-08,1.483e-07
44.0,0.08610000000000001,0.132,1.757e-08,1.294e-07
45.0,0.0821,0.131,1.639e-08,1.126e-07
46.0,0.0771,0.132,1.505e-08,9.513e-08
47.0,0.0731,0.13,1.397e-08,8.199e-08
48.0,0.0671,0.131,1.256e-08,6.629e-08
49.0,0.0601,0.13,1.102e-08,5.107e-08
50.0,0.049100000000000005,0.131,8.820e-09,3.276e-08
51.0,0.0311,0.132,5.477e-09,1.264e-08
52.0,0.0151,0.125,2.608e-09,2.869e-09
53.0,0.0081,0.12300000000000001,1.373e-09,7.952e-10
54.0,0.0051,0.109,8.482e-10,3.039e-10
55.0,0.0031,0.114,5.062e-10,1.083e-10
57.0,0.0011,0.12300000000000001,1.733e-10,1.271e-11
58.0,0.0007000000000000001,0.126,1.084e-10,4.974e-12
60.0,0.00030000000000000003,0.124,4.491e-11,8.546e-13
61.0,0.0002,0.11,2.945e-11,3.676e-13
,,,,
